pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,1.0,10.8,53,swarm|early-bird|rattled,rattled,gen-ii,False,False,False,red,wings,bug,forest,fast,255,70,Five Star Pokémon,84,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,1.4,35.6,137,swarm|early-bird|iron-fist,iron-fist,gen-ii,False,False,False,red,wings,bug,forest,fast,90,70,Five Star Pokémon,84,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,0.5,8.5,50,swarm|insomnia|sniper,sniper,gen-ii,False,False,False,green,armor,bug,forest,fast,255,70,String Spit Pokémon,85,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,1.1,33.5,140,swarm|insomnia|sniper,sniper,gen-ii,False,False,False,red,armor,bug,forest,fast,90,70,Long Leg Pokémon,85,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,1.8,75.0,241,inner-focus|infiltrator,infiltrator,gen-ii,False,False,False,purple,bug-wings,flying,cave,medium,90,70,Bat Pokémon,17,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,0.5,12.0,66,volt-absorb|illuminate|water-absorb,water-absorb,gen-ii,False,False,False,blue,fish,water2,sea,slow,190,70,Angler Pokémon,86,Chinchou blink their shining antennae at one another to claim their respective turf.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,1.2,22.5,161,volt-absorb|illuminate|water-absorb,water-absorb,gen-ii,False,False,False,blue,fish,water2,sea,slow,75,70,Light Pokémon,86,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
172,Pichu,Electric,,20,40,15,35,35,60,205,0.3,2.0,41,static|lightning-rod,lightning-rod,gen-ii,False,False,True,yellow,quadruped,no-eggs,forest,medium,190,70,Tiny Mouse Pokémon,10,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
173,Cleffa,Fairy,,50,25,28,45,55,15,218,0.3,3.0,44,cute-charm|magic-guard|friend-guard,friend-guard,gen-ii,False,False,True,pink,upright,no-eggs,mountain,fast,150,140,Star Shape Pokémon,14,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,0.3,1.0,42,cute-charm|competitive|friend-guard,friend-guard,gen-ii,False,False,True,pink,humanoid,no-eggs,grassland,fast,170,70,Balloon Pokémon,16,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png
175,Togepi,Fairy,,35,20,65,40,65,20,245,0.3,1.5,49,hustle|serene-grace|super-luck,super-luck,gen-ii,False,False,True,white,humanoid,no-eggs,forest,fast,190,70,Spike Ball Pokémon,87,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,0.6,3.2,142,hustle|serene-grace|super-luck,super-luck,gen-ii,False,False,False,white,humanoid,flying|fairy,forest,fast,75,70,Happiness Pokémon,87,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,0.2,2.0,64,synchronize|early-bird|magic-bounce,magic-bounce,gen-ii,False,False,False,green,wings,flying,forest,medium,190,70,Tiny Bird Pokémon,88,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,1.5,15.0,165,synchronize|early-bird|magic-bounce,magic-bounce,gen-ii,False,False,False,green,wings,flying,forest,medium,75,70,Mystic Pokémon,88,They say that it stays still and quiet because it is seeing both the past and future at the same time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png
179,Mareep,Electric,,55,40,40,65,45,35,280,0.6,7.8,56,static|plus,plus,gen-ii,False,False,False,white,quadruped,monster|ground,grassland,medium-slow,235,70,Wool Pokémon,89,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png
180,Flaaffy,Electric,,70,55,55,80,60,45,365,0.8,13.3,128,static|plus,plus,gen-ii,False,False,False,pink,upright,monster|ground,grassland,medium-slow,120,70,Wool Pokémon,89,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
181,Ampharos,Electric,,90,75,85,115,90,55,510,1.4,61.5,230,static|plus,plus,gen-ii,False,False,False,yellow,upright,monster|ground,grassland,medium-slow,45,70,Light Pokémon,89,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
182,Bellossom,Grass,,75,80,95,90,100,50,490,0.4,5.8,221,chlorophyll|healer,healer,gen-ii,False,False,False,green,humanoid,plant,grassland,medium-slow,45,70,Flower Pokémon,18,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
183,Marill,Water,Fairy,70,20,50,20,50,40,250,0.4,8.5,88,thick-fat|huge-power|sap-sipper,sap-sipper,gen-ii,False,False,False,blue,upright,water1|fairy,waters-edge,fast,190,70,Aqua Mouse Pokémon,90,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,0.8,28.5,189,thick-fat|huge-power|sap-sipper,sap-sipper,gen-ii,False,False,False,blue,upright,water1|fairy,waters-edge,fast,75,70,Aqua Rabbit Pokémon,90,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
185,Sudowoodo,Rock,,70,100,115,30,65,30,410,1.2,38.0,144,sturdy|rock-head|rattled,rattled,gen-ii,False,False,False,brown,humanoid,mineral,forest,medium,65,70,Imitation Pokémon,91,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
186,Politoed,Water,,90,75,75,90,100,70,500,1.1,33.9,225,water-absorb|damp|drizzle,drizzle,gen-ii,False,False,False,green,humanoid,water1,waters-edge,medium-slow,45,70,Frog Pokémon,26,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,0.4,0.5,50,chlorophyll|leaf-guard|infiltrator,infiltrator,gen-ii,False,False,False,pink,upright,fairy|plant,grassland,medium-slow,255,70,Cottonweed Pokémon,92,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,0.6,1.0,119,chlorophyll|leaf-guard|infiltrator,infiltrator,gen-ii,False,False,False,green,upright,fairy|plant,grassland,medium-slow,120,70,Cottonweed Pokémon,92,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,0.8,3.0,207,chlorophyll|leaf-guard|infiltrator,infiltrator,gen-ii,False,False,False,blue,upright,fairy|plant,grassland,medium-slow,45,70,Cottonweed Pokémon,92,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
190,Aipom,Normal,,55,70,55,40,55,85,360,0.8,11.5,72,run-away|pickup|skill-link,skill-link,gen-ii,False,False,False,purple,upright,ground,forest,fast,45,70,Long Tail Pokémon,93,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
191,Sunkern,Grass,,30,30,30,30,30,30,180,0.3,1.8,36,chlorophyll|solar-power|early-bird,early-bird,gen-ii,False,False,False,yellow,ball,plant,grassland,medium-slow,235,70,Seed Pokémon,94,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
192,Sunflora,Grass,,75,75,55,105,85,30,425,0.8,8.5,149,chlorophyll|solar-power|early-bird,early-bird,gen-ii,False,False,False,yellow,humanoid,plant,grassland,medium-slow,120,70,Sun Pokémon,94,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,1.2,38.0,78,speed-boost|compound-eyes|frisk,frisk,gen-ii,False,False,False,red,bug-wings,bug,forest,medium,75,70,Clear Wing Pokémon,95,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
194,Wooper,Water,Ground,55,45,45,25,25,15,210,0.4,8.5,42,damp|water-absorb|unaware,unaware,gen-ii,False,False,False,blue,legs,water1|ground,waters-edge,medium,255,70,Water Fish Pokémon,96,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,1.4,75.0,151,damp|water-absorb|unaware,unaware,gen-ii,False,False,False,blue,upright,water1|ground,waters-edge,medium,90,70,Water Fish Pokémon,96,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
196,Espeon,Psychic,,65,65,60,130,95,110,525,0.9,26.5,184,synchronize|magic-bounce,magic-bounce,gen-ii,False,False,False,purple,quadruped,ground,urban,medium,45,70,Sun Pokémon,67,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
197,Umbreon,Dark,,95,65,110,60,130,65,525,1.0,27.0,184,synchronize|inner-focus,inner-focus,gen-ii,False,False,False,black,quadruped,ground,urban,medium,45,35,Moonlight Pokémon,67,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,0.5,2.1,81,insomnia|super-luck|prankster,prankster,gen-ii,False,False,False,black,wings,flying,forest,medium-slow,30,35,Darkness Pokémon,97,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,2.0,79.5,172,oblivious|own-tempo|regenerator,regenerator,gen-ii,False,False,False,pink,upright,monster|water1,waters-edge,medium,70,70,Royal Pokémon,33,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
200,Misdreavus,Ghost,,60,60,60,85,85,85,435,0.7,1.0,87,levitate,,gen-ii,False,False,False,gray,ball,indeterminate,cave,fast,45,35,Screech Pokémon,98,It likes playing mischievous tricks such as screaming and wailing to startle people at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
201,Unown,Psychic,,48,72,48,72,48,48,336,0.5,5.0,118,levitate,,gen-ii,False,False,False,black,ball,no-eggs,rare,medium,225,70,Symbol Pokémon,99,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,1.3,28.5,142,shadow-tag|telepathy,telepathy,gen-ii,False,False,False,blue,blob,indeterminate,cave,medium,45,70,Patient Pokémon,100,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,1.5,41.5,159,inner-focus|early-bird|sap-sipper,sap-sipper,gen-ii,False,False,False,yellow,quadruped,ground,grassland,medium,60,70,Long Neck Pokémon,101,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
204,Pineco,Bug,,50,65,90,35,35,15,290,0.6,7.2,58,sturdy|overcoat,overcoat,gen-ii,False,False,False,gray,ball,bug,forest,medium,190,70,Bagworm Pokémon,102,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,1.2,125.8,163,sturdy|overcoat,overcoat,gen-ii,False,False,False,purple,ball,bug,forest,medium,75,70,Bagworm Pokémon,102,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
206,Dunsparce,Normal,,100,70,70,65,65,45,415,1.5,14.0,145,serene-grace|run-away|rattled,rattled,gen-ii,False,False,False,yellow,squiggle,ground,cave,medium,190,70,Land Snake Pokémon,103,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,1.1,64.8,86,hyper-cutter|sand-veil|immunity,immunity,gen-ii,False,False,False,purple,wings,bug,mountain,medium-slow,60,70,Fly Scorpion Pokémon,104,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,9.2,400.0,179,rock-head|sturdy|sheer-force,sheer-force,gen-ii,False,False,False,gray,squiggle,mineral,cave,medium,25,70,Iron Snake Pokémon,41,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
209,Snubbull,Fairy,,60,80,50,40,40,30,300,0.6,7.8,60,intimidate|run-away|rattled,rattled,gen-ii,False,False,False,pink,humanoid,ground|fairy,urban,fast,190,70,Fairy Pokémon,105,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
210,Granbull,Fairy,,90,120,75,60,60,45,450,1.4,48.7,158,intimidate|quick-feet|rattled,rattled,gen-ii,False,False,False,purple,upright,ground|fairy,urban,fast,75,70,Fairy Pokémon,105,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,0.5,3.9,88,poison-point|swift-swim|intimidate,intimidate,gen-ii,False,False,False,gray,fish,water2,sea,medium,45,70,Balloon Pokémon,106,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,1.8,118.0,175,swarm|technician|light-metal,light-metal,gen-ii,False,False,False,red,bug-wings,bug,grassland,medium,25,70,Pincer Pokémon,58,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,0.6,20.5,177,sturdy|gluttony|contrary,contrary,gen-ii,False,False,False,yellow,armor,bug,mountain,medium-slow,190,70,Mold Pokémon,107,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,1.5,54.0,175,swarm|guts|moxie,moxie,gen-ii,False,False,False,blue,humanoid,bug,forest,slow,45,70,Single Horn Pokémon,108,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,0.9,28.0,86,inner-focus|keen-eye|pickpocket,pickpocket,gen-ii,False,False,False,black,upright,ground,forest,medium-slow,60,35,Sharp Claw Pokémon,109,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
216,Teddiursa,Normal,,60,80,50,50,50,40,330,0.6,8.8,66,pickup|quick-feet|honey-gather,honey-gather,gen-ii,False,False,False,brown,upright,ground,mountain,medium,120,70,Little Bear Pokémon,110,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
217,Ursaring,Normal,,90,130,75,75,75,55,500,1.8,125.8,175,guts|quick-feet|unnerve,unnerve,gen-ii,False,False,False,brown,upright,ground,mountain,medium,60,70,Hibernator Pokémon,110,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
218,Slugma,Fire,,40,40,40,70,40,20,250,0.7,35.0,50,magma-armor|flame-body|weak-armor,weak-armor,gen-ii,False,False,False,red,squiggle,indeterminate,mountain,medium,190,70,Lava Pokémon,111,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,0.8,55.0,151,magma-armor|flame-body|weak-armor,weak-armor,gen-ii,False,False,False,red,squiggle,indeterminate,mountain,medium,75,70,Lava Pokémon,111,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,0.4,6.5,50,oblivious|snow-cloak|thick-fat,thick-fat,gen-ii,False,False,False,brown,quadruped,ground,cave,slow,225,70,Pig Pokémon,112,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,1.1,55.8,158,oblivious|snow-cloak|thick-fat,thick-fat,gen-ii,False,False,False,brown,quadruped,ground,cave,slow,75,70,Swine Pokémon,112,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png
222,Corsola,Water,Rock,65,55,95,65,95,35,410,0.6,5.0,144,hustle|natural-cure|regenerator,regenerator,gen-ii,False,False,False,pink,armor,water1|water3,sea,fast,60,70,Coral Pokémon,113,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
223,Remoraid,Water,,35,65,35,65,35,65,300,0.6,12.0,60,hustle|sniper|moody,moody,gen-ii,False,False,False,gray,fish,water1|water2,sea,medium,190,70,Jet Pokémon,114,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png
224,Octillery,Water,,75,105,75,105,75,45,480,0.9,28.5,168,suction-cups|sniper|moody,moody,gen-ii,False,False,False,red,tentacles,water1|water2,sea,medium,75,70,Jet Pokémon,114,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,0.9,16.0,116,vital-spirit|hustle|insomnia,insomnia,gen-ii,False,False,False,red,wings,water1|ground,mountain,fast,45,70,Delivery Pokémon,115,It carries food all day long. There are tales about lost people who were saved by the food it had.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png
226,Mantine,Water,Flying,85,40,70,80,140,70,485,2.1,220.0,170,swift-swim|water-absorb|water-veil,water-veil,gen-ii,False,False,False,purple,wings,water1,sea,slow,25,70,Kite Pokémon,116,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,1.7,50.5,163,keen-eye|sturdy|weak-armor,weak-armor,gen-ii,False,False,False,gray,wings,flying,rough-terrain,slow,25,70,Armor Bird Pokémon,117,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,0.6,10.8,66,early-bird|flash-fire|unnerve,unnerve,gen-ii,False,False,False,black,quadruped,ground,rough-terrain,slow,120,35,Dark Pokémon,118,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,1.4,35.0,175,early-bird|flash-fire|unnerve,unnerve,gen-ii,False,False,False,black,quadruped,ground,rough-terrain,slow,45,35,Dark Pokémon,118,"If you are burned by the flames it shoots from its mouth, the pain will never go away.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,1.8,152.0,243,swift-swim|sniper|damp,damp,gen-ii,False,False,False,blue,blob,water1|dragon,sea,medium,45,70,Dragon Pokémon,54,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png
231,Phanpy,Ground,,90,60,60,40,40,40,330,0.5,33.5,66,pickup|sand-veil,sand-veil,gen-ii,False,False,False,blue,quadruped,ground,rough-terrain,medium,120,70,Long Nose Pokémon,119,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png
232,Donphan,Ground,,90,120,120,60,60,50,500,1.1,120.0,175,sturdy|sand-veil,sand-veil,gen-ii,False,False,False,gray,quadruped,ground,rough-terrain,medium,60,70,Armor Pokémon,119,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png
233,Porygon2,Normal,,85,80,90,105,95,60,515,0.6,32.5,180,trace|download|analytic,analytic,gen-ii,False,False,False,red,legs,mineral,urban,medium,45,70,Virtual Pokémon,68,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png
234,Stantler,Normal,,73,95,62,85,65,85,465,1.4,71.2,163,intimidate|frisk|sap-sipper,sap-sipper,gen-ii,False,False,False,brown,quadruped,ground,forest,slow,45,70,Big Horn Pokémon,120,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png
235,Smeargle,Normal,,55,20,35,20,45,75,250,1.2,58.0,88,own-tempo|technician|moody,moody,gen-ii,False,False,False,white,upright,ground,urban,fast,45,70,Painter Pokémon,121,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png
236,Tyrogue,Fighting,,35,35,35,35,35,35,210,0.7,21.0,42,guts|steadfast|vital-spirit,vital-spirit,gen-ii,False,False,True,purple,humanoid,no-eggs,urban,medium,75,70,Scuffle Pokémon,47,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png
237,Hitmontop,Fighting,,50,95,95,35,110,70,455,1.4,48.0,159,intimidate|technician|steadfast,steadfast,gen-ii,False,False,False,brown,upright,humanshape,urban,medium,45,70,Handstand Pokémon,47,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,0.4,6.0,61,oblivious|forewarn|hydration,hydration,gen-ii,False,False,True,pink,humanoid,no-eggs,urban,medium,45,70,Kiss Pokémon,59,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png
239,Elekid,Electric,,45,63,37,65,55,95,360,0.6,23.5,72,static|vital-spirit,vital-spirit,gen-ii,False,False,True,yellow,humanoid,no-eggs,grassland,medium,45,70,Electric Pokémon,60,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png
240,Magby,Fire,,45,75,37,70,55,83,365,0.7,21.4,73,flame-body|vital-spirit,vital-spirit,gen-ii,False,False,True,red,upright,no-eggs,mountain,medium,45,70,Live Coal Pokémon,61,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png
241,Miltank,Normal,,95,80,105,40,70,100,490,1.2,75.5,172,thick-fat|scrappy|sap-sipper,sap-sipper,gen-ii,False,False,False,pink,upright,ground,grassland,slow,45,70,Milk Cow Pokémon,122,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png
